지역,비/성수기_지역,행사장행,귀가행,왕복
서울,비수기_서울,18000,20000,23000
서울,비수기_인천고양,18000,20000,23000
서울,성수기_서울,18000,20000,23000
서울,성수기_인천고양,18000,20000,23000
경기,비수기_서울,20000,22000,25000
경기,비수기_인천고양,20000,22000,25000
경기,성수기_서울,20000,22000,25000
경기,성수기_인천고양,20000,22000,25000
"경기남부(평택, 진접)",비수기_서울,23000,25000,28000
"경기남부(평택, 진접)",비수기_인천고양,23000,25000,28000
"경기남부(평택, 진접)",성수기_서울,23000,25000,28000
"경기남부(평택, 진접)",성수기_인천고양,23000,25000,28000
"충남(천안, 아산)",비수기_서울,34000,36000,37000
"충남(천안, 아산)",비수기_인천고양,34000,36000,37000
"충남(천안, 아산)",성수기_서울,34000,36000,37000
"충남(천안, 아산)",성수기_인천고양,34000,36000,37000
충북(청주),비수기_서울,38000,40000,42000
충북(청주),비수기_인천고양,38000,40000,42000
충북(청주),성수기_서울,38000,40000,42000
충북(청주),성수기_인천고양,38000,40000,42000
세종,비수기_서울,38000,40000,42000
세종,비수기_인천고양,38000,40000,42000
세종,성수기_서울,38000,40000,42000
세종,성수기_인천고양,38000,40000,42000
대전,비수기_서울,43000,45000,47000
대전,비수기_인천고양,43000,45000,47000
대전,성수기_서울,43000,45000,47000
대전,성수기_인천고양,43000,45000,47000
강원,비수기_서울,45000,48000,50000
강원,비수기_인천고양,50000,53000,55000
강원,성수기_서울,45000,48000,50000
강원,성수기_인천고양,50000,53000,55000
"전북(전주, 익산)",비수기_서울,53000,56000,58000
"전북(전주, 익산)",비수기_인천고양,57000,60000,63000
"전북(전주, 익산)",성수기_서울,53000,56000,58000
"전북(전주, 익산)",성수기_인천고양,57000,60000,63000
전남,비수기_서울,72000,76000,79000
전남,비수기_인천고양,76000,80000,84000
전남,성수기_서울,72000,76000,79000
전남,성수기_인천고양,76000,80000,84000
"대구(대구, 구미)",비수기_서울,58000,61000,64000
"대구(대구, 구미)",비수기_인천고양,63000,66000,69000
"대구(대구, 구미)",성수기_서울,58000,61000,64000
"대구(대구, 구미)",성수기_인천고양,63000,66000,69000
광주,비수기_서울,58000,61000,64000
광주,비수기_인천고양,63000,66000,69000
광주,성수기_서울,58000,61000,64000
광주,성수기_인천고양,63000,66000,69000
"경북(포항, 경주)",비수기_서울,68000,72000,75000
"경북(포항, 경주)",비수기_인천고양,72000,76000,80000
"경북(포항, 경주)",성수기_서울,68000,72000,75000
"경북(포항, 경주)",성수기_인천고양,72000,76000,80000
울산,비수기_서울,72000,76000,79000
울산,비수기_인천고양,76000,80000,84000
울산,성수기_서울,72000,76000,79000
울산,성수기_인천고양,76000,80000,84000
"경남(김해, 창원, 진주)",비수기_서울,72000,76000,79000
"경남(김해, 창원, 진주)",비수기_인천고양,76000,80000,84000
"경남(김해, 창원, 진주)",성수기_서울,72000,76000,79000
"경남(김해, 창원, 진주)",성수기_인천고양,76000,80000,84000
부산,비수기_서울,72000,76000,79000
부산,비수기_인천고양,76000,80000,84000
부산,성수기_서울,72000,76000,79000
부산,성수기_인천고양,76000,80000,84000
